src,alt
https://sece.ac.in/wp-content/uploads/2024/05/Group-61-1.png,
https://sece.ac.in/wp-content/uploads/2026/06/design-thinking-768x432.webp,design thinking
https://sece.ac.in/wp-content/uploads/2026/06/blood-donation-768x432.webp,blood donation
https://sece.ac.in/wp-content/uploads/2026/06/planting-event-768x432.webp,planting event
https://sece.ac.in/wp-content/uploads/2026/06/events-poster-768x432.webp,events poster
https://sece.ac.in/wp-content/uploads/2026/04/workshop-on-cloud--768x432.jpeg,workshop-on-cloud
https://sece.ac.in/wp-content/uploads/2026/04/deep-learning-for-next-gen-electrical-engineerg-768x432.jpeg,deep learning for next gen electrical engineerg
https://sece.ac.in/wp-content/uploads/2026/04/nlp-pipeline-768x432.jpeg,nlp-pipeline
https://sece.ac.in/wp-content/uploads/2026/04/data-mining-768x432.jpeg,data-mining
https://sece.ac.in/wp-content/uploads/2026/03/event-768x432.jpeg,event
https://sece.ac.in/wp-content/uploads/2026/03/national-since-day-768x432.jpeg,national since day
https://sece.ac.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-12-at-09.13.32_fdd087cb-768x565.webp,WhatsApp Image 2025-12-12 at 09.13
https://sece.ac.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-12-at-09.02.39_6b098057-768x432.webp,WhatsApp Image 2025-12-12 at 09.02
https://sece.ac.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-12-at-09.40.32_fb0aa5d7-768x432.jpg,WhatsApp Image 2025-12-12 at 09.40
https://sece.ac.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-11-at-13.14.21_95df715b-768x432.jpg,WhatsApp Image 2025-12-11 at 13.14
https://sece.ac.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-11-at-13.14.53_54a4eae2-768x432.jpg,WhatsApp Image 2025-12-11 at 13.14
https://sece.ac.in/wp-content/uploads/2025/12/WhatsApp-Image-2025-12-11-at-13.14.42_ace9e213-768x432.jpg,WhatsApp Image 2025-12-11 at 13.14
https://sece.ac.in/wp-content/uploads/2025/11/WhatsApp-Image-2025-11-12-at-14.38.05_cacd972e-768x432.jpg,WhatsApp Image 2025-11-12 at 14.38
https://sece.ac.in/wp-content/uploads/2025/11/WhatsApp-Image-2025-11-12-at-14.25.18_8ebd4693-768x432.jpg,WhatsApp Image 2025-11-12 at 14.25
https://sece.ac.in/wp-content/uploads/2025/10/POSTER-43-B-ANIMATE-copy-768x432.jpg,POSTER 43 B ANIMATE copy
https://sece.ac.in/wp-content/uploads/2025/11/WhatsApp-Image-2025-11-12-at-14.38.04_4b348e00-768x432.jpg,WhatsApp Image 2025-11-12 at 14.38
https://sece.ac.in/wp-content/uploads/2025/10/WhatsApp-Image-2025-10-16-at-9.00.08-AM-1-768x432.jpeg,WhatsApp Image 2025-10-16 at 9.00
https://sece.ac.in/wp-content/uploads/2025/10/lifestyle-awareness-program-768x432.webp,lifestyle awareness program
https://sece.ac.in/wp-content/uploads/2025/11/WhatsApp-Image-2025-11-12-at-14.25.16_2a5ed17f-768x432.jpg,WhatsApp Image 2025-11-12 at 14.25
https://sece.ac.in/wp-content/uploads/2025/11/WhatsApp-Image-2025-11-12-at-14.25.18_f548adce-768x512.jpg,WhatsApp Image 2025-11-12 at 14.25
https://sece.ac.in/wp-content/uploads/2025/09/POSTER-37-TV-SIH-copy-768x432.jpg,POSTER 37 TV SIH copy
https://sece.ac.in/wp-content/uploads/2025/11/WhatsApp-Image-2025-11-12-at-14.25.18_d11329af-768x512.jpg,WhatsApp Image 2025-11-12 at 14.25
