type,level,text
heading,h1,"October 11, 2025"
heading,h4,Lifestyle Awareness Program
heading,h1,"September 22-30, 2025"
heading,h4,Navaratri Celebrations
heading,h1,"September 29, 2025"
heading,h4,Navaratri Dandiya
heading,h1,"September 27, 2025"
heading,h4,Internal Smart India Hackathon
heading,h1,"September 26, 2025"
heading,h4,Freshwarites - A Magical Evening
heading,h1,"September 26, 2025"
heading,h4,Freshwarites
heading,h1,"September 19, 2025"
heading,h4,KPIT Technologies Campus Visit
heading,h1,"September 15, 2025"
heading,h4,In Celebration of Engineers Day : Simulathon 2025
heading,h1,"September 15 & 20, 2025"
heading,h4,Life Skill Program
heading,h1,"September 15 & 16, 2025"
heading,h4,Zone-10 Inter College Basket ball Tournament
heading,h1,"September 13, 2025"
heading,h4,Energy and Automation Day
heading,h1,"September 13, 2025"
heading,h4,Youth for Climate Action
heading,h1,"September 12, 2025"
heading,h4,Recent Trends in VLSI Design
heading,h1,"September 12, 2025"
heading,h4,Leadership Talk
heading,h1,"September 12 - 15, 2025"
heading,h4,Engineers Day Celebration : Simulathon 2025
heading,h1,"September 11, 2025"
heading,h4,Internal Prelims - Smart India Hackthon 2025
heading,h1,"September 11 - 15, 2025"
heading,h4,Coding Carnival
heading,h1,"September 9 & 10, 2025"
heading,h4,Building Scalable and Secure Architecture in AWS
heading,h1,"September 8 - 13, 2025"
heading,h4,Building Smart  Solutions with Machine Learning
heading,h1,"September 4, 2025"
heading,h4,Onam Celebration
heading,h1,"August 26, 2025"
heading,h4,Ganesh Chathurthi Celebrations
heading,h1,"August 25 - 29, 2025"
heading,h4,Application and Development : Bridging Theory & Practice
heading,h1,"August 25 & 26, 2025"
heading,h4,Data Driven Insights  : From Statistics to Feature Engineering
heading,h1,"August 18 - 22, 2025"
heading,h4,Smart Farming Solutions : A Workshop on Digital Tools For Sustainable Agriculture
heading,h1,"August 15, 2025"
heading,h4,Independence Day
heading,h1,"August 14, 2025"
heading,h4,Recent Trends in Semiconductor Industry & Job Opportunities
heading,h1,"August 4, 2025"
heading,h4,Technical Talk on : Mathematical Logic in AI
heading,h1,"August 4 - 6, 2025"
heading,h4,The Dynamic Programming Master Class - BreakingDown Complexity
heading,h1,"July 31, 2025"
heading,h4,FDP Value of Education
heading,h1,"July 29 - 31, 2025"
heading,h4,Professional Elective Phase-1 on DevOps
heading,h1,"July 28, 2025"
heading,h4,World Nature Conservation Day
heading,h1,"July 28 - 30, 2025"
heading,h4,"Breaking Problems, Building Solutions : The Power of Dynamic Programming"
heading,h1,"July 26, 2025"
heading,h4,Crafting Innovators - A Roadmap Through Skill Mapping
heading,h1,"July 24, 2025"
heading,h4,Seminar on : Electronics Engineers : Skills and Readiness for Emerging Roles in the Automatic Industry
heading,h1,"July 17, 2025"
heading,h4,C Programming Contest :  Loop Fest 2025
heading,h1,"July 7 - 11, 2025"
heading,h4,FDP on Circuit Analysis Semiconductor Devices & Electronic Circuits
heading,h1,"July 2, 2025"
heading,h4,Bild & Beyond : Next-Gen Data Engineering
heading,h1,"July 2 - 19, 2025"
heading,h4,Cyber Security
heading,h1,"July 2 - 18, 2025"
heading,h4,ArchitectX Cloud
heading,h1,"July 2 - 19, 2025"
heading,h4,Modern Full Stack Web Development
heading,h1,"July 2 - 18, 2025"
heading,h4,Java Full Stack (Spring Boot + React)
heading,h1,"July 2 - 19, 2025"
heading,h4,"Hal, Bare Metal Programming and Rtos"
heading,h1,"July 2 - 19, 2025"
heading,h4,Mobile App Development Using Flutter & Dart
heading,h1,"July 2 - 18, 2025"
heading,h4,DevOps and Site Reliability Engineering (SRE)
heading,h1,"June 21, 2025"
heading,h4,International Yoga Day
heading,h1,"June 30, 2025"
heading,h4,Visual Intelligence 2025 Power BI Contest
heading,h1,"June 18 - 27, 2025"
heading,h4,Annual Training Camp
heading,h1,"June 16 - 21, 2025"
heading,h4,Cybershields:Empowering  Educators with Next-Gen Security Skills
heading,h1,"June 13, 2025"
heading,h4,Fathers Day
heading,h1,"June 6, 2025"
heading,h4,React JS With Spring Boot Project Leap
heading,h1,"June 3 & 4, 2025"
heading,h4,Robotics To Industry
heading,h1,"June 2 - 6, 2025"
heading,h4,Advanced Embedded System Design and Industrial Automation
heading,h1,"May 30, 2025"
